epoch,batch,pi_loss,v_loss,total_loss,timestamp
1,1,6.274716377258301,0.18911772966384888,6.46383410692215,2025-03-31 16:55:22.030357
1,2,6.255769729614258,0.13049662113189697,6.386266350746155,2025-03-31 16:55:26.915492
1,3,6.185768127441406,0.23123905062675476,6.417007178068161,2025-03-31 16:55:31.630392
1,4,6.020214080810547,0.12686693668365479,6.147081017494202,2025-03-31 16:55:36.450035
1,5,5.870885848999023,0.1639927178621292,6.034878566861153,2025-03-31 16:55:41.089778
1,6,5.869645118713379,0.13792924582958221,6.007574364542961,2025-03-31 16:55:45.740227
1,7,5.531213283538818,0.18223558366298676,5.713448867201805,2025-03-31 16:55:50.296017
1,8,5.45059061050415,0.1940561980009079,5.644646808505058,2025-03-31 16:55:54.923604
1,9,4.951953887939453,0.21566623449325562,5.167620122432709,2025-03-31 16:55:59.530524
1,10,4.883818626403809,0.21123188734054565,5.095050513744354,2025-03-31 16:56:04.116377
1,11,4.531008720397949,0.1430070847272873,4.6740158051252365,2025-03-31 16:56:08.675154
1,12,4.492132186889648,0.16305184364318848,4.655184030532837,2025-03-31 16:56:13.193485
1,13,3.69063663482666,0.2416842132806778,3.932320848107338,2025-03-31 16:56:17.692752
1,14,4.171161651611328,0.09701517224311829,4.268176823854446,2025-03-31 16:56:22.221535
1,15,4.336766242980957,0.2539548873901367,4.590721130371094,2025-03-31 16:56:26.771094
1,16,3.939253807067871,0.15747623145580292,4.096730038523674,2025-03-31 16:56:31.381850
1,17,4.028207302093506,0.16190271079540253,4.190110012888908,2025-03-31 16:56:35.986712
1,18,4.167510032653809,0.23115459084510803,4.398664623498917,2025-03-31 16:56:40.601470
1,19,4.24550199508667,0.06172015145421028,4.30722214654088,2025-03-31 16:56:45.126852
1,20,3.897550106048584,0.20314893126487732,4.100699037313461,2025-03-31 16:56:49.768001
1,21,4.063695430755615,0.1714196503162384,4.235115081071854,2025-03-31 16:56:54.305787
1,22,3.799421787261963,0.15927086770534515,3.958692654967308,2025-03-31 16:56:58.903308
1,23,4.212642669677734,0.2321021854877472,4.444744855165482,2025-03-31 16:57:03.497931
1,24,4.061120986938477,0.18862749636173248,4.249748483300209,2025-03-31 16:57:08.010186
1,25,4.042878150939941,0.17049813270568848,4.21337628364563,2025-03-31 16:57:12.576703
1,26,4.0954694747924805,0.22059616446495056,4.316065639257431,2025-03-31 16:57:17.169261
1,27,4.119466781616211,0.23749208450317383,4.356958866119385,2025-03-31 16:57:21.733844
1,28,3.792217969894409,0.17427197098731995,3.966489940881729,2025-03-31 16:57:26.312489
1,29,3.768767833709717,0.2487175166606903,4.017485350370407,2025-03-31 16:57:30.936254
1,30,3.797295570373535,0.1721288412809372,3.9694244116544724,2025-03-31 16:57:35.518467
1,31,3.7041873931884766,0.09487411379814148,3.799061506986618,2025-03-31 16:57:40.121643
1,32,3.890913724899292,0.12828725576400757,4.0192009806633,2025-03-31 16:57:44.720560
1,33,3.948568820953369,0.17174851894378662,4.120317339897156,2025-03-31 16:57:49.333429
1,34,4.314350128173828,0.17280106246471405,4.487151190638542,2025-03-31 16:57:53.882930
1,35,3.772920846939087,0.2186194360256195,3.9915402829647064,2025-03-31 16:57:58.474764
1,36,3.6179404258728027,0.15771088004112244,3.775651305913925,2025-03-31 16:58:03.074823
1,37,3.8577027320861816,0.21700920164585114,4.074711933732033,2025-03-31 16:58:07.577842
1,38,3.8028759956359863,0.18843679130077362,3.99131278693676,2025-03-31 16:58:12.141659
1,39,3.737572431564331,0.2003502994775772,3.9379227310419083,2025-03-31 16:58:16.682382
1,40,3.990777015686035,0.21762889623641968,4.208405911922455,2025-03-31 16:58:21.176993
1,41,3.814831256866455,0.20313048362731934,4.017961740493774,2025-03-31 16:58:25.723121
1,42,3.6358814239501953,0.14257784187793732,3.7784592658281326,2025-03-31 16:58:30.244096
1,43,3.647976875305176,0.12571269273757935,3.773689568042755,2025-03-31 16:58:34.790325
1,44,4.027536392211914,0.15232008695602417,4.179856479167938,2025-03-31 16:58:39.274622
1,45,3.9768619537353516,0.19780872762203217,4.174670681357384,2025-03-31 16:58:43.846429
1,46,3.6670987606048584,0.24974888563156128,3.9168476462364197,2025-03-31 16:58:48.378991
1,47,3.8220019340515137,0.1660582423210144,3.988060176372528,2025-03-31 16:58:52.916705
1,48,4.126569747924805,0.17357653379440308,4.300146281719208,2025-03-31 16:58:57.522214
1,49,4.069796562194824,0.10896623879671097,4.178762800991535,2025-03-31 16:59:02.140507
1,50,3.680605411529541,0.15626972913742065,3.8368751406669617,2025-03-31 16:59:06.663337
1,51,3.83308744430542,0.12728062272071838,3.9603680670261383,2025-03-31 16:59:11.175983
1,52,3.7638421058654785,0.13804088532924652,3.901882991194725,2025-03-31 16:59:15.694805
1,53,3.8791232109069824,0.1713680624961853,4.050491273403168,2025-03-31 16:59:20.225574
1,54,3.685434579849243,0.06187664717435837,3.7473112270236015,2025-03-31 16:59:24.734688
1,55,4.178599834442139,0.15192440152168274,4.330524235963821,2025-03-31 16:59:29.299550
1,56,3.868258476257324,0.14370693266391754,4.011965408921242,2025-03-31 16:59:33.874270
2,1,3.9674429893493652,0.21772132813930511,4.18516431748867,2025-03-31 16:59:40.413345
2,2,4.109119415283203,0.13899895548820496,4.248118370771408,2025-03-31 16:59:45.025664
2,3,4.146564483642578,0.19908778369426727,4.345652267336845,2025-03-31 16:59:49.668458
2,4,3.8742263317108154,0.1514578014612198,4.025684133172035,2025-03-31 16:59:54.241056
2,5,3.761610507965088,0.10620469599962234,3.8678152039647102,2025-03-31 16:59:58.834029
