2025-03-28 18:18:24,252 - EPOCH ::: 1
2025-03-28 18:23:20,939 - Loss_pi: 3.6746474504470825, Loss_v: 0.13197489604353904
2025-03-28 18:23:25,404 - Loss_pi: 3.730293729088523, Loss_v: 0.13809213651852173
2025-03-28 18:23:29,878 - Loss_pi: 3.7532431880633035, Loss_v: 0.1444127963234981
2025-03-28 18:23:34,365 - Loss_pi: 3.736406784791213, Loss_v: 0.13946857246068808
2025-03-28 18:23:38,868 - Loss_pi: 3.7440612827028548, Loss_v: 0.13952525279351644
2025-03-28 18:23:43,417 - Loss_pi: 3.7373751322428386, Loss_v: 0.14181863268216452
2025-03-28 18:23:47,988 - Loss_pi: 3.739131659269333, Loss_v: 0.1397136291489005
2025-03-28 18:23:52,500 - Loss_pi: 3.7337196153752945, Loss_v: 0.13874133238021066
2025-03-28 18:23:57,093 - Loss_pi: 3.7194344070222645, Loss_v: 0.139058292326
2025-03-28 18:24:01,670 - Loss_pi: 3.7438481355968274, Loss_v: 0.1370621566709719
2025-03-28 18:24:06,156 - Loss_pi: 3.750414276123047, Loss_v: 0.13610773384571076
2025-03-28 18:24:10,617 - Loss_pi: 3.7224511191958474, Loss_v: 0.1363592864502044
2025-03-28 18:24:15,078 - Loss_pi: 3.7014540975744072, Loss_v: 0.13597518070177597
2025-03-28 18:24:19,541 - Loss_pi: 3.6988275051116943, Loss_v: 0.13553879507209943
2025-03-28 18:24:23,948 - Loss_pi: 3.701606720685959, Loss_v: 0.13250761292874813
2025-03-28 18:24:28,319 - Loss_pi: 3.7027076625823976, Loss_v: 0.13282532691955568
2025-03-28 18:24:32,711 - Loss_pi: 3.688793365771954, Loss_v: 0.13194458014689958
2025-03-28 18:24:37,126 - Loss_pi: 3.692456289573952, Loss_v: 0.13391252082807045
2025-03-28 18:24:41,616 - Loss_pi: 3.698971586568015, Loss_v: 0.1335163036627429
2025-03-28 18:24:46,085 - Loss_pi: 3.6975542348006676, Loss_v: 0.13426310235056385
2025-03-28 18:24:50,587 - Loss_pi: 3.7112388531366984, Loss_v: 0.1341747591892878
